id,name,price,symbol,industry,market,currency,date
e725c863-63e4-4192-bfff-92ec0fb5a3fd,"Zillow Group, Inc.",11184.86,,Business Services,NASDAQ,EUR,06/02/2020
884ce27f-3214-4440-8ebf-6773e2d2a911,CardConnect Corp.,17277.48,,Business Services,NASDAQ,PLN,2019-04-30
212ecb0b-8808-4684-944e-9d4f62f974d3,FIRST REPUBLIC BANK,26273.8,FRC^E,n/a,NYSE,XOF,8/2/2019
c84f8808-e676-4d76-aa8f-6e6b3ac891af,MV Oil Trust,86425.94,,Oil & Gas Production,NYSE,BRL,2020/05/09
32544685-daea-477d-963a-37aa8bd5065f,Kellogg Company,7179.07,,Packaged Foods,NYSE,KGS,5/29/2020
6c3c779e-b552-49de-95f0-03de74c335f8,"Tetraphase Pharmaceuticals, Inc.",17743.31,TTPH,Major Pharmaceuticals,NASDAQ,CAD,05/15/2019
6a79fe1b-aa62-4726-a07f-3b6ddbb5d31c,Kellogg Company,83215.75,,Packaged Foods,NYSE,PEN,2019-10-27
1f5c4375-56c4-41d1-83c4-9af5dcfaa1a0,The Cheesecake Factory Incorporated,91910.5,CAKE,Restaurants,NASDAQ,PHP,9/1/2019
c6592b1e-98b0-4a80-b1e1-f33375cb354d,China Eastern Airlines Corporation Ltd.,17527.18,CEA,Air Freight/Delivery Services,NYSE,CUP,
d27eda72-3481-4d14-926c-8c9ae9989587,Mimecast Limited,36201.38,MIME,,,IDR,11/10/2019
6199c683-2db5-4510-bf61-7185fdf0e25f,"M/I Homes, Inc.",75673.79,MHO,,,SEK,09/20/2019
e5059037-186e-42f2-b17d-587ed6241a67,MSCI Inc,62032.57,MSCI,Business Services,NYSE,CNY,2019-04-01
dcaea37b-ce7e-4d57-a0a5-e16ccc71beec,Forum Merger Corporation,69933.07,FMCIW,Business Services,NASDAQ,CNY,24/1/2020
916eae84-69a2-412d-8d51-f865c816ac25,First Internet Bancorp,43609.74,INBKL,,,BRL,2019/12/14
4af02684-0455-42b0-aee0-f82bc9841d7c,VALE S.A.,17478.59,VALE.P,n/a,NYSE,PHP,3/18/2019
274c4037-4c6d-4998-ad6a-009b2ee8d3e3,"Advanced Drainage Systems, Inc.",83773.36,WMS,Containers/Packaging,NYSE,RUB,05/29/2020
ee4a1093-9f80-4c56-bde1-d60f99bc873b,Colonial Municipal Income Trust,41673.17,,n/a,NYSE,IDR,2019-05-15
1b8c17b2-5dca-49c3-90c8-8d69fc4d119c,"G1 Therapeutics, Inc.",9063.09,,Major Pharmaceuticals,NASDAQ,NAD,20/7/2020
07de23e8-cc4e-4095-91e5-1330c4a1e28a,NICE Ltd,78645.18,NICE,Computer Manufacturing,NASDAQ,HRK,2019/11/02
131efe89-6d27-4f43-b3d3-ff341770556b,"KemPharm, Inc.",72401.68,KMPH,Major Pharmaceuticals,NASDAQ,MXN,
109f243e-a203-491d-b0bb-92dfbc1cb28c,KKR & Co. L.P.,88211.58,KKR^B,n/a,NYSE,UGX,
f5040a6d-34de-4ef6-be02-bd7dd8ed1bd5,"Consolidated Communications Holdings, Inc.",86292.95,CNSL,Telecommunications Equipment,NASDAQ,UAH,2019-10-31
b84754d6-73e4-4e75-b6ca-8ef157ae811c,JM Global Holding Company,60570.21,WYIG,Business Services,NASDAQ,IDR,
58e74152-6539-4da1-9826-81fdc59851fe,"Emerald Expositions Events, Inc.",6365.79,,Business Services,NYSE,IDR,
d38d1985-5e0f-4cbe-bb0f-5938e93035c0,"Dynex Capital, Inc.",9463.09,DX^B,,,PHP,9/12/2019
1abf2ffc-3396-4ed9-954d-956be97668c0,"Brocade Communications Systems, Inc.",99614.04,BRCD,Computer Communications Equipment,NASDAQ,PLN,09/12/2020
4a271a05-dd81-4e2a-a144-ecf43d32fb30,Whiting Petroleum Corporation,930.68,WLL,Oil & Gas Production,NYSE,VND,2019-03-12
29cf6b61-36b8-406e-87dc-58cbdba81b61,"Xenia Hotels & Resorts, Inc.",72708.06,XHR,Hotels/Resorts,NYSE,CNY,29/5/2019
9d10fd89-7e74-4585-b302-4c955e929997,Public Storage,88780.33,PSA^C,Real Estate Investment Trusts,NYSE,PHP,
13d4cdf4-40b2-4085-b954-bea0f74226e8,La Quinta Holdings Inc.,58387.75,,,,BRL,2/17/2019
082d5b55-b1fe-4ec3-98fc-353756705401,Regulus Therapeutics Inc.,37264.46,,Major Pharmaceuticals,NASDAQ,SLL,03/02/2020
5c46335d-f555-411a-9ad0-4617c48d23b6,"Pinnacle Foods, Inc.",83189.71,PF,Packaged Foods,NYSE,RUB,2020-06-29
5a81b92d-f3da-4b14-97e9-87ccb640f0f2,TAL Education Group,96116.56,TAL,,,IDR,19/7/2020
